Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
sampling_1245_1000_trimmed.fastq	1144	619	54.1%	310	10690	742	15	35	0	290	71.9%	0.5%	0.5%	0.0%
sampling_1245_100_trimmed.fastq	1154	627	54.3%	272	11103	685	18	41	0	314	68.6%	0.6%	0.6%	0.0%
sampling_1245_101_trimmed.fastq	1142	644	56.4%	298	11101	656	13	37	0	318	67.4%	0.5%	0.5%	0.0%
sampling_1245_102_trimmed.fastq	1143	625	54.7%	304	10846	664	19	45	0	317	67.7%	0.7%	0.6%	0.0%
sampling_1245_103_trimmed.fastq	1151	666	57.9%	283	11363	760	6	50	0	248	75.4%	0.2%	0.7%	0.0%
sampling_1245_104_trimmed.fastq	1137	655	57.6%	279	11357	712	13	46	0	325	68.7%	0.5%	0.6%	0.0%
sampling_1245_105_trimmed.fastq	1163	690	59.3%	269	11567	719	23	40	0	319	69.3%	0.8%	0.5%	
sampling_1245_106_trimmed.fastq	1159	634	54.7%	298	10799	694	14	29	1	305	69.5%	0.5%	0.4%	25.0%
sampling_1245_107_trimmed.fastq	1151	655	56.9%	286	11023	715	14	36	0	310	69.8%	0.5%	0.5%	0.0%
sampling_1245_108_trimmed.fastq	1145	656	57.3%	296	11307	702	22	46	0	355	66.4%	0.8%	0.6%	0.0%
sampling_1245_109_trimmed.fastq	1165	697	59.8%	242	12108	787	21	48	0	325	70.8%	0.7%	0.6%	0.0%
sampling_1245_10_trimmed.fastq	1132	651	57.5%	272	11242	682	18	45	0	327	67.6%	0.6%	0.6%	0.0%
sampling_12451_1000_trimmed.fastq	11534	6467	56.1%	2920	111503	7133	187	390	1	3001	70.4%	0.7%	0.5%	2.0%
sampling_12451_100_trimmed.fastq	11467	6334	55.2%	2912	108766	6767	177	460	2	2996	69.3%	0.6%	0.6%	3.9%
sampling_12451_101_trimmed.fastq	11473	6326	55.1%	2971	109294	6866	185	425	2	3081	69.0%	0.7%	0.6%	2.9%
sampling_12451_102_trimmed.fastq	11479	6415	55.9%	2919	110140	6945	180	419	3	3182	68.6%	0.6%	0.6%	4.3%
sampling_12451_103_trimmed.fastq	11461	6341	55.3%	2939	108320	6706	173	421	4	3150	68.0%	0.6%	0.6%	7.0%
sampling_12451_104_trimmed.fastq	11428	6445	56.4%	2836	110686	6949	170	435	1	3043	69.5%	0.6%	0.6%	2.2%
sampling_12451_105_trimmed.fastq	11518	6465	56.1%	2968	111314	7191	171	437	4	2996	70.6%	0.6%	0.6%	8.9%
sampling_12451_106_trimmed.fastq	11493	6397	55.7%	2907	110501	6978	152	436	2	2908	70.6%	0.5%	0.6%	4.0%
sampling_12451_107_trimmed.fastq	11454	6429	56.1%	2939	110712	6962	176	451	0	3127	69.0%	0.6%	0.6%	0.0%
sampling_12451_108_trimmed.fastq	11507	6445	56.0%	2976	110979	7025	185	418	2	3279	68.2%	0.6%	0.6%	4.3%
