Sample ID	Grading date 	Blastocyst grade	No. embryos/	trt	sex	Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	Total_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
1	29/06/17	B1/2, XB1/2	12	Control	mixed	Pavla/10Nov2017_Sample_01_Pavla_S107_L001_R1_001_trimmed.fq	64222	25367	39.5%	19245	467154	8770	582	1229	0	36065	44835	19.56	0.5%	0.4%	0.0%
2	29/06/17	B2	10	Control	mixed	Pavla/10Nov2017_Sample_02_Pavla_S108_L001_R1_001_trimmed.fq	137487	61323	44.6%	40053	1365282	29758	1861	4150	1	86702	116460	25.55	0.5%	0.5%	3.6%
3	29/06/17	B3	10	Control	mixed	Pavla/10Nov2017_Sample_03_Pavla_S109_L001_R1_001_trimmed.fq	68357	28538	41.7%	19499	549053	12776	842	1770	1	37712	50488	25.31	0.6%	0.5%	12.5%
4	29/06/17	B3	9	Control	mixed	Pavla/10Nov2017_Sample_04_Pavla_S110_L001_R1_001_trimmed.fq	143011	66197	46.3%	39366	1548893	30153	1850	4525	0	96859	127012	23.74	0.5%	0.4%	0.0%
5	6/07/17	B1/2, XB1/2	5	Control	mixed	Pavla/10Nov2017_Sample_05_Pavla_S111_L001_R1_001_trimmed.fq	81105	36867	45.5%	22185	795258	16117	989	2361	0	51034	67151	24.00	0.5%	0.5%	0.0%
6	6/07/17	B2	5	Control	mixed	Pavla/10Nov2017_Sample_06_Pavla_S112_L001_R1_001_trimmed.fq	31914	13381	41.9%	8798	256400	5840	374	796	0	18120	23960	24.37	0.6%	0.5%	0.0%
7	6/07/17	B3	5	Control	mixed	Pavla/10Nov2017_Sample_07_Pavla_S113_L001_R1_001_trimmed.fq	8162	3461	42.4%	2686	81038	1803	124	244	0	4916	6719	26.83	0.6%	0.5%	
8	6/07/17	B3	5	Control	mixed	Pavla/10Nov2017_Sample_08_Pavla_S114_L001_R1_001_trimmed.fq	23138	9221	39.9%	7014	172977	3266	274	495	0	13113	16379	19.94	0.6%	0.4%	0.0%
9	13/07/17	B1/2, XB1/2	5	Control	mixed	Pavla/10Nov2017_Sample_09_Pavla_S115_L001_R1_001_trimmed.fq	122632	54303	44.3%	35811	1250910	25541	1596	3571	1	80797	106338	24.02	0.5%	0.4%	6.2%
10	13/07/17	B2	5	Control	mixed	Pavla/10Nov2017_Sample_10_Pavla_S116_L001_R1_001_trimmed.fq	109316	48166	44.1%	33485	1143117	22564	1440	3280	0	71610	94174	23.96	0.5%	0.4%	0.0%
11	13/07/17	B3	5	Control	mixed	Pavla/10Nov2017_Sample_11_Pavla_S117_L001_R1_001_trimmed.fq	70898	30992	43.7%	21723	749678	14483	961	2180	0	47436	61919	23.39	0.5%	0.4%	0.0%
12	13/07/17	B3	5	Control	mixed	Pavla/10Nov2017_Sample_12_Pavla_S118_L001_R1_001_trimmed.fq	39755	18674	47.0%	11467	452866	8990	554	1378	0	26841	35831	25.09	0.5%	0.5%	0.0%
13	10/11/16	B1/2	11	Control	mixed	Pavla/10Nov2017_Sample_13_Pavla_S119_L001_R1_001_trimmed.fq	156100	73762	47.3%	43594	1796713	32322	2126	5009	2	108493	140815	22.95	0.5%	0.4%	12.5%
14	10/11/16	B3	6	Control	mixed	Pavla/10Nov2017_Sample_14_Pavla_S120_L001_R1_001_trimmed.fq	67260	31090	46.2%	18189	705056	15348	1028	2458	0	42670	58018	26.45	0.6%	0.5%	0.0%
15	6/07/17	B1/2, XB1/2	10	2i	mixed	Pavla/10Nov2017_Sample_15_Pavla_S121_L001_R1_001_trimmed.fq	102179	43626	42.7%	35352	1058399	20093	1290	3092	0	63170	83263	24.13	0.5%	0.4%	0.0%
16	6/07/17	B2	8	2i	mixed	Pavla/10Nov2017_Sample_16_Pavla_S122_L001_R1_001_trimmed.fq	62346	28146	45.1%	17733	652048	12690	863	1915	0	41408	54098	23.46	0.5%	0.4%	0.0%
17	6/07/17	B3	4	2i	mixed	Pavla/10Nov2017_Sample_17_Pavla_S123_L001_R1_001_trimmed.fq	75620	34233	45.3%	21601	801891	17324	992	2175	0	48075	65399	26.49	0.5%	0.4%	0.0%
18	6/07/17	B3	3	2i	mixed	Pavla/10Nov2017_Sample_18_Pavla_S124_L001_R1_001_trimmed.fq	86887	40752	46.9%	25755	1053327	18490	1196	2874	0	59926	78416	23.58	0.5%	0.4%	0.0%
