Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
sampling_10773_1000_trimmed.fastq	9816	5197	52.9%	3167	88449	6419	132	298	0	1663	79.4%	0.6%	0.5%	0.0%
sampling_10773_100_trimmed.fastq	9768	5163	52.9%	3185	88082	6436	136	291	3	1504	81.1%	0.6%	0.5%	6.8%
sampling_10773_101_trimmed.fastq	9765	5181	53.1%	3111	88445	6308	128	279	3	1446	81.4%	0.6%	0.5%	7.3%
sampling_10773_102_trimmed.fastq	9782	5178	52.9%	3141	87490	6323	124	274	1	1527	80.5%	0.5%	0.5%	2.2%
sampling_10773_103_trimmed.fastq	9825	5176	52.7%	3180	87929	6362	123	287	3	1633	79.6%	0.5%	0.5%	6.2%
sampling_10773_104_trimmed.fastq	9808	5201	53.0%	3153	88575	6244	134	305	1	1594	79.7%	0.6%	0.5%	2.2%
sampling_10773_105_trimmed.fastq	9859	5208	52.8%	3188	88130	6382	123	298	5	1657	79.4%	0.5%	0.5%	7.7%
sampling_10773_106_trimmed.fastq	9801	5129	52.3%	3266	87358	6422	141	304	1	1482	81.2%	0.6%	0.5%	2.6%
sampling_10773_107_trimmed.fastq	9765	5190	53.1%	3202	88278	6444	145	280	4	1635	79.8%	0.6%	0.5%	7.3%
sampling_10773_108_trimmed.fastq	9794	5257	53.7%	3077	89337	6446	102	294	4	1612	80.0%	0.4%	0.5%	7.4%
sampling_10773_109_trimmed.fastq	9758	5164	52.9%	3162	87016	6371	134	291	3	1465	81.3%	0.6%	0.5%	4.5%
sampling_10773_10_trimmed.fastq	9771	5241	53.6%	3106	88186	6500	142	277	2	1491	81.3%	0.6%	0.5%	5.3%
sampling_10773_110_trimmed.fastq	9802	5160	52.6%	3232	87075	6332	117	276	5	1599	79.8%	0.5%	0.5%	9.3%
sampling_10773_111_trimmed.fastq	9811	5205	53.1%	3167	88441	6351	135	274	4	1506	80.8%	0.6%	0.5%	9.3%
sampling_10773_112_trimmed.fastq	9758	5155	52.8%	3186	87639	6328	103	257	5	1590	79.9%	0.5%	0.4%	11.9%
sampling_10773_113_trimmed.fastq	9810	5370	54.7%	3008	90891	6680	134	297	2	1538	81.3%	0.6%	0.5%	3.4%
sampling_10773_114_trimmed.fastq	9772	5319	54.4%	3063	90995	6761	126	244	2	1839	78.6%	0.5%	0.4%	4.5%
sampling_10773_115_trimmed.fastq	9817	5117	52.1%	3242	86418	6213	123	266	2	1544	80.1%	0.6%	0.5%	4.1%
sampling_10773_116_trimmed.fastq	9752	5213	53.5%	3160	88975	6346	129	273	4	1520	80.7%	0.6%	0.5%	12.9%
sampling_10773_117_trimmed.fastq	9782	5227	53.4%	3054	88896	6528	119	294	2	1513	81.2%	0.5%	0.5%	5.4%
sampling_10773_118_trimmed.fastq	9802	5254	53.6%	3115	89028	6234	121	292	5	1621	79.4%	0.5%	0.5%	10.9%
