"","Sample","Length","CpG_met","CpG_unmet","Sum"
"1","07_report/CpG_context_sampling_125_1_trimmed_bismark_bt2.CpG",54,41,13,54
"2","07_report/CpG_context_sampling_125_2_trimmed_bismark_bt2.CpG",41,28,13,41
"3","07_report/CpG_context_sampling_125_3_trimmed_bismark_bt2.CpG",45,30,15,45
"4","07_report/CpG_context_sampling_125_4_trimmed_bismark_bt2.CpG",43,33,10,43
"5","07_report/CpG_context_sampling_125_5_trimmed_bismark_bt2.CpG",50,36,14,50
"6","07_report/CpG_context_sampling_125_6_trimmed_bismark_bt2.CpG",44,34,10,44
"7","07_report/CpG_context_sampling_125_7_trimmed_bismark_bt2.CpG",44,32,12,44
"8","07_report/CpG_context_sampling_125_8_trimmed_bismark_bt2.CpG",45,36,9,45
"9","07_report/CpG_context_sampling_125_9_trimmed_bismark_bt2.CpG",43,32,11,43
"10","07_report/CpG_context_sampling_125_10_trimmed_bismark_bt2.CpG",40,30,10,40
"11","07_report/CpG_context_sampling_125_11_trimmed_bismark_bt2.CpG",42,25,17,42
"12","07_report/CpG_context_sampling_125_12_trimmed_bismark_bt2.CpG",43,32,11,43
"13","07_report/CpG_context_sampling_125_13_trimmed_bismark_bt2.CpG",38,28,10,38
"14","07_report/CpG_context_sampling_125_14_trimmed_bismark_bt2.CpG",51,37,14,51
"15","07_report/CpG_context_sampling_125_15_trimmed_bismark_bt2.CpG",43,30,13,43
"16","07_report/CpG_context_sampling_125_16_trimmed_bismark_bt2.CpG",45,31,14,45
"17","07_report/CpG_context_sampling_125_17_trimmed_bismark_bt2.CpG",51,37,14,51
"18","07_report/CpG_context_sampling_125_18_trimmed_bismark_bt2.CpG",31,19,12,31
"19","07_report/CpG_context_sampling_125_19_trimmed_bismark_bt2.CpG",46,30,16,46
"20","07_report/CpG_context_sampling_125_20_trimmed_bismark_bt2.CpG",33,24,9,33
"21","07_report/CpG_context_sampling_125_21_trimmed_bismark_bt2.CpG",35,28,7,35
"22","07_report/CpG_context_sampling_125_22_trimmed_bismark_bt2.CpG",50,34,16,50
"23","07_report/CpG_context_sampling_125_23_trimmed_bismark_bt2.CpG",47,35,12,47
"24","07_report/CpG_context_sampling_125_24_trimmed_bismark_bt2.CpG",44,31,13,44
"25","07_report/CpG_context_sampling_125_25_trimmed_bismark_bt2.CpG",37,23,14,37
"26","07_report/CpG_context_sampling_125_26_trimmed_bismark_bt2.CpG",43,31,12,43
"27","07_report/CpG_context_sampling_125_27_trimmed_bismark_bt2.CpG",37,24,13,37
"28","07_report/CpG_context_sampling_125_28_trimmed_bismark_bt2.CpG",33,22,11,33
"29","07_report/CpG_context_sampling_125_29_trimmed_bismark_bt2.CpG",38,26,12,38
"30","07_report/CpG_context_sampling_125_30_trimmed_bismark_bt2.CpG",50,31,19,50
"31","07_report/CpG_context_sampling_125_31_trimmed_bismark_bt2.CpG",36,26,10,36
"32","07_report/CpG_context_sampling_125_32_trimmed_bismark_bt2.CpG",47,30,17,47
"33","07_report/CpG_context_sampling_125_33_trimmed_bismark_bt2.CpG",35,23,12,35
"34","07_report/CpG_context_sampling_125_34_trimmed_bismark_bt2.CpG",45,37,8,45
"35","07_report/CpG_context_sampling_125_35_trimmed_bismark_bt2.CpG",38,27,11,38
"36","07_report/CpG_context_sampling_125_36_trimmed_bismark_bt2.CpG",46,36,10,46
"37","07_report/CpG_context_sampling_125_37_trimmed_bismark_bt2.CpG",41,30,11,41
"38","07_report/CpG_context_sampling_125_38_trimmed_bismark_bt2.CpG",36,24,12,36
"39","07_report/CpG_context_sampling_125_39_trimmed_bismark_bt2.CpG",35,28,7,35
"40","07_report/CpG_context_sampling_125_40_trimmed_bismark_bt2.CpG",42,26,16,42
"41","07_report/CpG_context_sampling_125_41_trimmed_bismark_bt2.CpG",40,31,9,40
"42","07_report/CpG_context_sampling_125_42_trimmed_bismark_bt2.CpG",38,30,8,38
"43","07_report/CpG_context_sampling_125_43_trimmed_bismark_bt2.CpG",38,32,6,38
"44","07_report/CpG_context_sampling_125_44_trimmed_bismark_bt2.CpG",42,25,17,42
"45","07_report/CpG_context_sampling_125_45_trimmed_bismark_bt2.CpG",44,29,15,44
"46","07_report/CpG_context_sampling_125_46_trimmed_bismark_bt2.CpG",49,33,16,49
"47","07_report/CpG_context_sampling_125_47_trimmed_bismark_bt2.CpG",37,26,11,37
"48","07_report/CpG_context_sampling_125_48_trimmed_bismark_bt2.CpG",44,30,14,44
"49","07_report/CpG_context_sampling_125_49_trimmed_bismark_bt2.CpG",41,28,13,41
"50","07_report/CpG_context_sampling_125_50_trimmed_bismark_bt2.CpG",37,27,10,37
"51","07_report/CpG_context_sampling_125_51_trimmed_bismark_bt2.CpG",45,32,13,45
"52","07_report/CpG_context_sampling_125_52_trimmed_bismark_bt2.CpG",44,27,17,44
"53","07_report/CpG_context_sampling_125_53_trimmed_bismark_bt2.CpG",57,37,20,57
"54","07_report/CpG_context_sampling_125_54_trimmed_bismark_bt2.CpG",41,34,7,41
"55","07_report/CpG_context_sampling_125_55_trimmed_bismark_bt2.CpG",43,28,15,43
"56","07_report/CpG_context_sampling_125_56_trimmed_bismark_bt2.CpG",38,31,7,38
"57","07_report/CpG_context_sampling_125_57_trimmed_bismark_bt2.CpG",44,30,14,44
"58","07_report/CpG_context_sampling_125_58_trimmed_bismark_bt2.CpG",42,30,12,42
"59","07_report/CpG_context_sampling_125_59_trimmed_bismark_bt2.CpG",46,26,20,46
