"","Sample","Length","CpG_met","CpG_unmet","Sum"
"1","07_report/CpG_context_sampling_135_1_trimmed_bismark_bt2.CpG",45,39,6,45
"2","07_report/CpG_context_sampling_135_2_trimmed_bismark_bt2.CpG",42,34,8,42
"3","07_report/CpG_context_sampling_135_3_trimmed_bismark_bt2.CpG",46,37,9,46
"4","07_report/CpG_context_sampling_135_4_trimmed_bismark_bt2.CpG",49,41,8,49
"5","07_report/CpG_context_sampling_135_5_trimmed_bismark_bt2.CpG",44,35,9,44
"6","07_report/CpG_context_sampling_135_6_trimmed_bismark_bt2.CpG",42,34,8,42
"7","07_report/CpG_context_sampling_135_7_trimmed_bismark_bt2.CpG",52,47,5,52
"8","07_report/CpG_context_sampling_135_8_trimmed_bismark_bt2.CpG",38,35,3,38
"9","07_report/CpG_context_sampling_135_9_trimmed_bismark_bt2.CpG",41,28,13,41
"10","07_report/CpG_context_sampling_135_10_trimmed_bismark_bt2.CpG",50,41,9,50
"11","07_report/CpG_context_sampling_135_11_trimmed_bismark_bt2.CpG",48,39,9,48
"12","07_report/CpG_context_sampling_135_12_trimmed_bismark_bt2.CpG",51,39,12,51
"13","07_report/CpG_context_sampling_135_13_trimmed_bismark_bt2.CpG",37,32,5,37
"14","07_report/CpG_context_sampling_135_14_trimmed_bismark_bt2.CpG",47,41,6,47
"15","07_report/CpG_context_sampling_135_15_trimmed_bismark_bt2.CpG",44,28,16,44
"16","07_report/CpG_context_sampling_135_16_trimmed_bismark_bt2.CpG",45,41,4,45
"17","07_report/CpG_context_sampling_135_17_trimmed_bismark_bt2.CpG",39,33,6,39
"18","07_report/CpG_context_sampling_135_18_trimmed_bismark_bt2.CpG",44,35,9,44
"19","07_report/CpG_context_sampling_135_19_trimmed_bismark_bt2.CpG",43,32,11,43
"20","07_report/CpG_context_sampling_135_20_trimmed_bismark_bt2.CpG",29,27,2,29
"21","07_report/CpG_context_sampling_135_21_trimmed_bismark_bt2.CpG",50,39,11,50
"22","07_report/CpG_context_sampling_135_22_trimmed_bismark_bt2.CpG",48,35,13,48
"23","07_report/CpG_context_sampling_135_23_trimmed_bismark_bt2.CpG",47,40,7,47
"24","07_report/CpG_context_sampling_135_24_trimmed_bismark_bt2.CpG",36,27,9,36
"25","07_report/CpG_context_sampling_135_25_trimmed_bismark_bt2.CpG",39,32,7,39
"26","07_report/CpG_context_sampling_135_26_trimmed_bismark_bt2.CpG",62,49,13,62
"27","07_report/CpG_context_sampling_135_27_trimmed_bismark_bt2.CpG",49,45,4,49
"28","07_report/CpG_context_sampling_135_28_trimmed_bismark_bt2.CpG",41,30,11,41
"29","07_report/CpG_context_sampling_135_29_trimmed_bismark_bt2.CpG",51,44,7,51
"30","07_report/CpG_context_sampling_135_30_trimmed_bismark_bt2.CpG",45,37,8,45
"31","07_report/CpG_context_sampling_135_31_trimmed_bismark_bt2.CpG",47,42,5,47
"32","07_report/CpG_context_sampling_135_32_trimmed_bismark_bt2.CpG",45,40,5,45
"33","07_report/CpG_context_sampling_135_33_trimmed_bismark_bt2.CpG",37,34,3,37
"34","07_report/CpG_context_sampling_135_34_trimmed_bismark_bt2.CpG",46,36,10,46
"35","07_report/CpG_context_sampling_135_35_trimmed_bismark_bt2.CpG",32,28,4,32
"36","07_report/CpG_context_sampling_135_36_trimmed_bismark_bt2.CpG",53,42,11,53
"37","07_report/CpG_context_sampling_135_37_trimmed_bismark_bt2.CpG",55,49,6,55
"38","07_report/CpG_context_sampling_135_38_trimmed_bismark_bt2.CpG",53,44,9,53
"39","07_report/CpG_context_sampling_135_39_trimmed_bismark_bt2.CpG",50,39,11,50
"40","07_report/CpG_context_sampling_135_40_trimmed_bismark_bt2.CpG",48,42,6,48
"41","07_report/CpG_context_sampling_135_41_trimmed_bismark_bt2.CpG",51,43,8,51
"42","07_report/CpG_context_sampling_135_42_trimmed_bismark_bt2.CpG",38,32,6,38
"43","07_report/CpG_context_sampling_135_43_trimmed_bismark_bt2.CpG",33,29,4,33
"44","07_report/CpG_context_sampling_135_44_trimmed_bismark_bt2.CpG",49,39,10,49
"45","07_report/CpG_context_sampling_135_45_trimmed_bismark_bt2.CpG",36,29,7,36
"46","07_report/CpG_context_sampling_135_46_trimmed_bismark_bt2.CpG",39,32,7,39
"47","07_report/CpG_context_sampling_135_47_trimmed_bismark_bt2.CpG",32,27,5,32
"48","07_report/CpG_context_sampling_135_48_trimmed_bismark_bt2.CpG",53,45,8,53
"49","07_report/CpG_context_sampling_135_49_trimmed_bismark_bt2.CpG",34,29,5,34
"50","07_report/CpG_context_sampling_135_50_trimmed_bismark_bt2.CpG",40,34,6,40
"51","07_report/CpG_context_sampling_135_51_trimmed_bismark_bt2.CpG",42,35,7,42
"52","07_report/CpG_context_sampling_135_52_trimmed_bismark_bt2.CpG",41,37,4,41
"53","07_report/CpG_context_sampling_135_53_trimmed_bismark_bt2.CpG",51,43,8,51
"54","07_report/CpG_context_sampling_135_54_trimmed_bismark_bt2.CpG",33,27,6,33
"55","07_report/CpG_context_sampling_135_55_trimmed_bismark_bt2.CpG",39,28,11,39
"56","07_report/CpG_context_sampling_135_56_trimmed_bismark_bt2.CpG",41,34,7,41
"57","07_report/CpG_context_sampling_135_57_trimmed_bismark_bt2.CpG",56,49,7,56
"58","07_report/CpG_context_sampling_135_58_trimmed_bismark_bt2.CpG",35,24,11,35
"59","07_report/CpG_context_sampling_135_59_trimmed_bismark_bt2.CpG",32,29,3,32
"60","07_report/CpG_context_sampling_135_60_trimmed_bismark_bt2.CpG",41,32,9,41
"61","07_report/CpG_context_sampling_135_61_trimmed_bismark_bt2.CpG",41,33,8,41
"62","07_report/CpG_context_sampling_135_62_trimmed_bismark_bt2.CpG",55,43,12,55
"63","07_report/CpG_context_sampling_135_63_trimmed_bismark_bt2.CpG",43,38,5,43
"64","07_report/CpG_context_sampling_135_64_trimmed_bismark_bt2.CpG",41,36,5,41
"65","07_report/CpG_context_sampling_135_65_trimmed_bismark_bt2.CpG",37,28,9,37
"66","07_report/CpG_context_sampling_135_66_trimmed_bismark_bt2.CpG",51,40,11,51
"67","07_report/CpG_context_sampling_135_67_trimmed_bismark_bt2.CpG",44,38,6,44
"68","07_report/CpG_context_sampling_135_68_trimmed_bismark_bt2.CpG",46,36,10,46
"69","07_report/CpG_context_sampling_135_69_trimmed_bismark_bt2.CpG",40,32,8,40
"70","07_report/CpG_context_sampling_135_70_trimmed_bismark_bt2.CpG",44,39,5,44
"71","07_report/CpG_context_sampling_135_71_trimmed_bismark_bt2.CpG",52,45,7,52
"72","07_report/CpG_context_sampling_135_72_trimmed_bismark_bt2.CpG",36,34,2,36
"73","07_report/CpG_context_sampling_135_73_trimmed_bismark_bt2.CpG",34,27,7,34
"74","07_report/CpG_context_sampling_135_74_trimmed_bismark_bt2.CpG",32,23,9,32
"75","07_report/CpG_context_sampling_135_75_trimmed_bismark_bt2.CpG",47,38,9,47
"76","07_report/CpG_context_sampling_135_76_trimmed_bismark_bt2.CpG",39,32,7,39
"77","07_report/CpG_context_sampling_135_77_trimmed_bismark_bt2.CpG",47,37,10,47
"78","07_report/CpG_context_sampling_135_78_trimmed_bismark_bt2.CpG",35,28,7,35
"79","07_report/CpG_context_sampling_135_79_trimmed_bismark_bt2.CpG",44,41,3,44
"80","07_report/CpG_context_sampling_135_80_trimmed_bismark_bt2.CpG",39,31,8,39
"81","07_report/CpG_context_sampling_135_81_trimmed_bismark_bt2.CpG",44,37,7,44
"82","07_report/CpG_context_sampling_135_82_trimmed_bismark_bt2.CpG",48,39,9,48
"83","07_report/CpG_context_sampling_135_83_trimmed_bismark_bt2.CpG",49,42,7,49
"84","07_report/CpG_context_sampling_135_84_trimmed_bismark_bt2.CpG",44,36,8,44
"85","07_report/CpG_context_sampling_135_85_trimmed_bismark_bt2.CpG",49,44,5,49
"86","07_report/CpG_context_sampling_135_86_trimmed_bismark_bt2.CpG",44,39,5,44
"87","07_report/CpG_context_sampling_135_87_trimmed_bismark_bt2.CpG",47,39,8,47
"88","07_report/CpG_context_sampling_135_88_trimmed_bismark_bt2.CpG",46,39,7,46
"89","07_report/CpG_context_sampling_135_89_trimmed_bismark_bt2.CpG",41,34,7,41
"90","07_report/CpG_context_sampling_135_90_trimmed_bismark_bt2.CpG",45,37,8,45
"91","07_report/CpG_context_sampling_135_91_trimmed_bismark_bt2.CpG",43,36,7,43
"92","07_report/CpG_context_sampling_135_92_trimmed_bismark_bt2.CpG",47,42,5,47
"93","07_report/CpG_context_sampling_135_93_trimmed_bismark_bt2.CpG",48,37,11,48
"94","07_report/CpG_context_sampling_135_94_trimmed_bismark_bt2.CpG",40,34,6,40
"95","07_report/CpG_context_sampling_135_95_trimmed_bismark_bt2.CpG",55,51,4,55
"96","07_report/CpG_context_sampling_135_96_trimmed_bismark_bt2.CpG",40,33,7,40
"97","07_report/CpG_context_sampling_135_97_trimmed_bismark_bt2.CpG",46,29,17,46
"98","07_report/CpG_context_sampling_135_98_trimmed_bismark_bt2.CpG",40,37,3,40
"99","07_report/CpG_context_sampling_135_99_trimmed_bismark_bt2.CpG",54,44,10,54
"100","07_report/CpG_context_sampling_135_100_trimmed_bismark_bt2.CpG",38,33,5,38
"101","07_report/CpG_context_sampling_135_101_trimmed_bismark_bt2.CpG",41,34,7,41
"102","07_report/CpG_context_sampling_135_102_trimmed_bismark_bt2.CpG",49,43,6,49
"103","07_report/CpG_context_sampling_135_103_trimmed_bismark_bt2.CpG",40,36,4,40
"104","07_report/CpG_context_sampling_135_104_trimmed_bismark_bt2.CpG",47,37,10,47
"105","07_report/CpG_context_sampling_135_105_trimmed_bismark_bt2.CpG",45,39,6,45
"106","07_report/CpG_context_sampling_135_106_trimmed_bismark_bt2.CpG",36,29,7,36
"107","07_report/CpG_context_sampling_135_107_trimmed_bismark_bt2.CpG",49,43,6,49
"108","07_report/CpG_context_sampling_135_108_trimmed_bismark_bt2.CpG",41,36,5,41
"109","07_report/CpG_context_sampling_135_109_trimmed_bismark_bt2.CpG",53,41,12,53
"110","07_report/CpG_context_sampling_135_110_trimmed_bismark_bt2.CpG",47,41,6,47
"111","07_report/CpG_context_sampling_135_111_trimmed_bismark_bt2.CpG",42,38,4,42
"112","07_report/CpG_context_sampling_135_112_trimmed_bismark_bt2.CpG",38,30,8,38
"113","07_report/CpG_context_sampling_135_113_trimmed_bismark_bt2.CpG",45,36,9,45
"114","07_report/CpG_context_sampling_135_114_trimmed_bismark_bt2.CpG",44,42,2,44
"115","07_report/CpG_context_sampling_135_115_trimmed_bismark_bt2.CpG",53,46,7,53
"116","07_report/CpG_context_sampling_135_116_trimmed_bismark_bt2.CpG",46,43,3,46
"117","07_report/CpG_context_sampling_135_117_trimmed_bismark_bt2.CpG",41,32,9,41
"118","07_report/CpG_context_sampling_135_118_trimmed_bismark_bt2.CpG",45,33,12,45
"119","07_report/CpG_context_sampling_135_119_trimmed_bismark_bt2.CpG",40,39,1,40
"120","07_report/CpG_context_sampling_135_120_trimmed_bismark_bt2.CpG",42,37,5,42
"121","07_report/CpG_context_sampling_135_121_trimmed_bismark_bt2.CpG",35,24,11,35
"122","07_report/CpG_context_sampling_135_122_trimmed_bismark_bt2.CpG",42,35,7,42
"123","07_report/CpG_context_sampling_135_123_trimmed_bismark_bt2.CpG",49,35,14,49
"124","07_report/CpG_context_sampling_135_124_trimmed_bismark_bt2.CpG",41,36,5,41
"125","07_report/CpG_context_sampling_135_125_trimmed_bismark_bt2.CpG",36,28,8,36
"126","07_report/CpG_context_sampling_135_126_trimmed_bismark_bt2.CpG",49,41,8,49
"127","07_report/CpG_context_sampling_135_127_trimmed_bismark_bt2.CpG",41,35,6,41
"128","07_report/CpG_context_sampling_135_128_trimmed_bismark_bt2.CpG",46,36,10,46
"129","07_report/CpG_context_sampling_135_129_trimmed_bismark_bt2.CpG",46,35,11,46
"130","07_report/CpG_context_sampling_135_130_trimmed_bismark_bt2.CpG",48,40,8,48
"131","07_report/CpG_context_sampling_135_131_trimmed_bismark_bt2.CpG",44,31,13,44
